t=807844567.159305 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50473@144,69,603x505"]
t=807844567.746307 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982"]
t=807844567.790745 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1533,0,1512x33"]
t=807844567.796550 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1496,0,1512x33"]
t=807844567.807089 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1483,0,1512x33"]
t=807844567.822738 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1463,0,1512x33"]
t=807844567.823806 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1440,0,1512x33"]
t=807844567.830087 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1416,0,1512x33"]
t=807844567.842416 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1392,0,1512x33"]
t=807844567.850078 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1363,0,1512x33"]
t=807844567.858356 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1334,0,1512x33"]
t=807844567.866777 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1304,0,1512x33"]
t=807844567.875095 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1272,0,1512x33"]
t=807844567.883779 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1239,0,1512x33"]
t=807844567.892203 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1204,0,1512x33"]
t=807844567.899872 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1169,0,1512x33"]
t=807844567.908277 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@1132,0,1512x33"]
