t=807844645.516027 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50473@144,69,603x505"]
t=807844646.118646 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982"]
t=807844646.147346 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1546,0,1512x33"]
t=807844646.160460 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1533,0,1512x33"]
t=807844646.173325 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1502,0,1512x33"]
t=807844646.180304 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1484,0,1512x33"]
t=807844646.191975 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1438,0,1512x33"]
t=807844646.198788 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1417,0,1512x33"]
t=807844646.208244 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1392,0,1512x33"]
t=807844646.215255 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1365,0,1512x33"]
t=807844646.228309 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1336,0,1512x33"]
t=807844646.232072 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1305,0,1512x33"]
t=807844646.244771 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1274,0,1512x33"]
t=807844646.252710 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1240,0,1512x33"]
t=807844646.257532 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1206,0,1512x33"]
t=807844646.265213 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1170,0,1512x33"]
t=807844646.273878 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1134,0,1512x33"]
t=807844646.288556 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1096,0,1512x33"]
t=807844646.290560 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1058,0,1512x33"]
t=807844646.305027 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@1019,0,1512x33"]
t=807844646.307138 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@979,0,1512x33"]
t=807844646.319523 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@939,0,1512x33"]
t=807844646.330193 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@898,0,1512x33"]
t=807844646.339241 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@857,0,1512x33"]
t=807844646.345262 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@816,0,1512x33"]
t=807844646.355840 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@775,0,1512x33"]
t=807844646.370303 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@734,0,1512x33"]
t=807844646.371412 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@690,0,1512x33"]
t=807844646.377817 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@652,0,1512x33"]
t=807844646.385412 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@611,0,1512x33"]
t=807844646.393873 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@571,0,1512x33"]
t=807844646.402060 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@532,0,1512x33"]
t=807844646.406943 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@493,0,1512x33"]
t=807844646.418382 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@455,0,1512x33"]
t=807844646.426461 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@418,0,1512x33"]
t=807844646.436510 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@383,0,1512x33"]
